Roshan Davies Ankara
Missy Quintero Antananarivo
Maximillian Apia
Deacon Oliver Ashgabat
Kloe Glenn Campinas Asmara
Zakariyya Buxton  Astana
Sara Mcculloch  Asunción
Hamzah Greenwood  Athens
Maverick Drew  Avarua
Cynthia Sharpe  Baghdad
Shanna Nixon  Baku
Emir Rooney  Bamako
Ionut Ionita  Pitesti
Zaynab Clarkson  Bangkok
Shabaz Day  Bangui
Emily Browning  Banjul
Paddy O'Sullivan  Basseterre
Alexandria Cobb  Beijing
Zhane Kemp  Beirut
Belle Lott  Belgrade
Om House  Belmopan
Blanche Munoz  Berlin
Maria Floyd  Bern
Colette Esparza  Bishkek
Mateo Cherry  Bissau
Adeel Keith  Bogota
Aarron Alfaro  Chisinau
Isla-Rose Sharma  Chisinau
Sam Sullivan  Brazzaville
Terri Horner  Bridgetown
Jimmie Trujillo  Brussels
Sneha Burt  Bucharest
Macaulay Sparrow  Budapest
Jodie Shields  BuenosAires
Fenella Churchill  Bujumbura
Craig Roth  Cairo
Inaaya Bender  Canberra
Orson Anderson  Caracas
Azeem Lindsey  Castries
Ellice Cottrell  Cayenne
Amanda Mays  Charlotte
Ariadne Mccaffrey  Chisinau
Angelika Wade  Cockburn
Nora Dupont  Conakry
Mert Goldsmith  Copenhagen
Tiago Harrell  Dakar
Brady Goodman  Damascus
Alasdair Hoffman  Dhaka
Vinay Thorne  Dili
Kaylan Parkinson  Djibouti
Eva-Rose Elliott  Dodoma
Harvey Joyner  Tokyo
Cherry Velez  Doha
Havin Wilson  Douglas
Brad Simmons  Dublin
Asif Marshall  Dushanbe
Katie Grey  Edinburgh
Kobe Fleming  Paris
Casper Brennan  Bucharest
Lillie-Rose Barrera  Bucharest
Bethanie Clements  Freetown
Tamera Moyer  Funafuti
Jaydn Conner  Gaborone
Chelsy Hester  Washington
Kornelia Bonner  Georgetown
Nettie Rocha  Georgetown
Adina Horn  Gibraltar
Zacharias Grainger  Grytviken
Helen Powell  Guatemala
Astrid Rangel  Gustavia
Isobel Frank  London
Siraj Wagstaff  Hamilton
Bella Lord  Hanga
Samia Poole  Hanoi
Gareth Collins  Harare
Clarence Benson  Hargeisa
Carter Barton  Havana
Esme Morgan  Helsinki
Richie Cowan  Honiara
Keenan Hebert  Islamabad
Caden Hanna  Jakarta
Rosemarie Bevan  Jamestown
Cassandra Wallace  Jerusalem 
Jorge Stephens  Jerusalem
Ceri Magana  Ramallah
Elsa Odling  Juba
Teresa Mora  Kabul
Wiktoria Eaton  Kampala
Darius Myers  Kathmandu
Hal Rahman  Khartoum
Alastair Hartman  Kiev
Rylee Acevedo  Kigali
Azaan Hughes  Kingston
Phebe Copeland  Kingston
Lacey Hopkins  Kingstown
Kareena Mcpherson  Kinshasa
Asim Hackett  Kuala
Fateh Rutledge  Putrajaya
Bronwen Barclay  Kuwait
Zain Lyons  Libreville
Kaylem Burks  Lilongwe
Elle-May Sellers  Lima
Thalia Cherry  Lisbon
Bryson Molloy  Ljubljana
Ethel Bate  Lome
Lucien Mcdermott  London
Emre Paul  Luanda
Leslie Short  Lusaka
